monat,status,nachweis,risiko,beratungspunkt
2024-06,Abitur,Zeugnis Mallinckrodt-Gymnasium,niedrig,Ausbildungssuche dokumentieren
2024-09,Bundesfreiwilligendienst,BFD-Bescheinigung,niedrig,Orientierungsdienst als Anschlussphase
2025-02,BFD Ende,Bescheinigung Klinikum,niedrig,Übergang zu Ausbildung
2025-04,Ausbildung Physiotherapie,Schulvertrag,niedrig,Waisenrente trägt Ausbildungstatbestand
2025-10,Krankheitsphase,Attest Dr Österling,mittel,Abbruch nicht als freie Pause werten
2025-12,keine Ausbildung,Abmeldebestätigung,hoch,Übergangszeit und Krankheit begründen
2026-05,Studienzusage,Zulassung FH Dortmund,mittel,Anschlussausbildung belegen
2026-09,Praxisstart,Praxisvertrag,mittel,Vorbereitungsphase prüfen
2026-10,Duales Studium,Studienvertrag,niedrig,Weiterzahlung neu beantragen

